"timestamp"	"latitude"	"longitude"	"altitude"	"distance"	"heart_rate"	"speed"
2013-06-01 18:40:29	50.813805	-1.7126063	80.2000122	1805.9399512	133	4.06005860000005
2013-06-01 18:40:30	50.8138298	-1.7126487	80	1810.0000098	133	4.55004880000001
2013-06-01 18:40:31	50.8138543	-1.7127005	79.7999878	1814.5500586	133	2.97998050000001
2013-06-01 18:40:32	50.8138709	-1.7127338	79.7999878	1817.5300391	133	2.96997069999998
2013-06-01 18:40:33	50.8138757	-1.7127769	79.5999756	1820.5000098	133	3.65002439999989
2013-06-01 18:40:34	50.8138862	-1.712826	79.5999756	1824.1500342	133	3.22998040000016
2013-06-01 18:40:35	50.8139051	-1.7128616	79.4000244	1827.3800146	133	4.65002449999997
2013-06-01 18:40:36	50.8139326	-1.7129115	79.4000244	1832.0300391	133	4.14990229999989
2013-06-01 18:40:37	50.8139517	-1.7129626	79.2000122	1836.1799414	133	2
2013-06-01 18:40:38	50.8139537	-1.7129945	79.2000122	1838.1799414	133	4.21008299999994
2013-06-01 18:40:39	50.8139622	-1.7130533	79	1842.3900244	133	5.18994140000018
