year,value,country
2000-01-01,27130.0,UK
2001-01-01,27770.0,UK
2002-01-01,28250.0,UK
2003-01-01,29060.0,UK
2004-01-01,29560.0,UK
2005-01-01,30210.0,UK
2006-01-01,30810.0,UK
2007-01-01,31280.0,UK
2008-01-01,30940.0,UK
2009-01-01,29460.0,UK
2010-01-01,29830.0,UK
2011-01-01,29960.0,UK
2012-01-01,30190.0,UK
2013-01-01,30660.0,UK
2014-01-01,31290.0,UK
2015-01-01,31780.0,UK
2016-01-01,32060.0,UK
2017-01-01,32430.0,UK
2018-01-01,32640.0,UK
2019-01-01,32870.0,UK
2000-01-01,28930.0,FR
2001-01-01,29290.0,FR
2002-01-01,29410.0,FR
2003-01-01,29440.0,FR
2004-01-01,30050.0,FR
2005-01-01,30320.0,FR
2006-01-01,30850.0,FR
2007-01-01,31400.0,FR
2008-01-01,31310.0,FR
2009-01-01,30250.0,FR
2010-01-01,30690.0,FR
2011-01-01,31210.0,FR
2012-01-01,31160.0,FR
2013-01-01,31170.0,FR
2014-01-01,31320.0,FR
2015-01-01,31540.0,FR
2016-01-01,31770.0,FR
2017-01-01,32380.0,FR
2018-01-01,32860.0,FR
2019-01-01,33270.0,FR
2000-01-01,27430.0,IT
2001-01-01,27950.0,IT
2002-01-01,27960.0,IT
2003-01-01,27850.0,IT
2004-01-01,28030.0,IT
2005-01-01,28090.0,IT
2006-01-01,28480.0,IT
2007-01-01,28730.0,IT
2008-01-01,28230.0,IT
2009-01-01,26590.0,IT
2010-01-01,26930.0,IT
2011-01-01,27020.0,IT
2012-01-01,26090.0,IT
2013-01-01,25480.0,IT
2014-01-01,25420.0,IT
2015-01-01,25640.0,IT
2016-01-01,26020.0,IT
2017-01-01,26490.0,IT
2018-01-01,26780.0,IT
2019-01-01,26920.0,IT
2000-01-01,28910.0,DE
2001-01-01,29370.0,DE
2002-01-01,29290.0,DE
2003-01-01,29100.0,DE
2004-01-01,29470.0,DE
2005-01-01,29730.0,DE
2006-01-01,30930.0,DE
2007-01-01,31920.0,DE
2008-01-01,32320.0,DE
2009-01-01,30580.0,DE
2010-01-01,31940.0,DE
2011-01-01,33200.0,DE
2012-01-01,33280.0,DE
2013-01-01,33330.0,DE
2014-01-01,33920.0,DE
2015-01-01,34130.0,DE
2016-01-01,34610.0,DE
2017-01-01,35380.0,DE
2018-01-01,35720.0,DE
2019-01-01,35840.0,DE
